recruiter_id,event_type,event_info_keys,event_info_values,event_count
0,chatbot_redirect_clicked,"[""buttonName"", ""pageUrl"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""Buy Credits"", ""/plan-selection"", ""RECRUITER"", ""RECRUITER_VERIFIED"", ""https://employer.jobhai.com/hire/home""]",1
59417,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""false"", ""BASIC"", ""TEAMS_BASIC_USER_VERIFIED"", ""https://www.jobhai.com/hire/home""]",1
98667,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""false"", ""RECRUITER"", ""RECRUITER_VERIFIED"", ""https://www.jobhai.com/hire/home""]",1
109915,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""false"", ""RECRUITER"", ""RECRUITER_VERIFIED"", ""https://www.jobhai.com/hire/home""]",2
137613,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""false"", ""RECRUITER"", ""RECRUITER_VERIFIED"", ""https://employer.jobhai.com/hire/help-center""]",1
352697,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""false"", ""RECRUITER"", ""RECRUITER_VERIFIED_CURRENT_NOT_VERIFIED"", ""https://employer.jobhai.com/hire/home""]",1
822358,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""false"", ""RECRUITER"", ""RECRUITER_VERIFIED"", ""https://employer.jobhai.com/hire/home""]",2
1381423,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""true"", ""RECRUITER"", ""RECRUITER_VERIFIED"", ""https://www.jobhai.com/hire/home""]",1
1460196,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""true"", ""RECRUITER"", ""RECRUITER_VERIFIED"", ""https://employer.jobhai.com/hire/home""]",1
1461257,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""false"", ""RECRUITER"", ""RECRUITER_VERIFIED_CURRENT_NOT_VERIFIED"", ""https://employer.jobhai.com/hire/home""]",2
1462912,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""false"", ""RECRUITER"", ""RECRUITER_VERIFIED"", ""https://www.jobhai.com/hire/home""]",2
1462912,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""true"", ""RECRUITER"", ""RECRUITER_VERIFIED"", ""https://www.jobhai.com/hire/home""]",1
1463485,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""false"", ""RECRUITER"", ""RECRUITER_VERIFIED"", ""https://employer.jobhai.com/hire/home""]",1
1464589,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""true"", ""RECRUITER"", ""RECRUITER_VERIFIED_CURRENT_NOT_VERIFIED"", ""https://employer.jobhai.com/hire/home""]",2
1470858,chatbot_relax_job_requirements_edit_clicked,"[""jobId"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""7371007"", ""RECRUITER"", ""RECRUITER_VERIFIED"", ""https://employer.jobhai.com/hire/home""]",1
1470858,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""true"", ""RECRUITER"", ""RECRUITER_VERIFIED"", ""https://employer.jobhai.com/hire/home""]",1
1481667,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""true"", ""RECRUITER"", ""RECRUITER_VERIFIED"", ""https://employer.jobhai.com/hire/home""]",1
1498829,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""true"", ""BASIC"", ""TEAMS_BASIC_USER_VERIFIED"", ""https://www.jobhai.com/hire/home""]",1
1509693,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""false"", ""RECRUITER"", ""RECRUITER_NOT_VERIFIED"", ""https://employer.jobhai.com/hire/home""]",2
1514780,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""false"", ""RECRUITER"", ""RECRUITER_VERIFIED"", ""https://employer.jobhai.com/hire/home""]",2
1514780,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""true"", ""RECRUITER"", ""RECRUITER_VERIFIED"", ""https://employer.jobhai.com/hire/home""]",1
1515097,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""false"", ""RECRUITER"", ""RECRUITER_VERIFIED"", ""https://employer.jobhai.com/hire/home""]",1
1519525,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""false"", ""RECRUITER"", ""RECRUITER_VERIFIED_CURRENT_NOT_VERIFIED"", ""https://employer.jobhai.com/hire/home""]",2
1533006,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""true"", ""RECRUITER"", ""RECRUITER_VERIFIED_CURRENT_NOT_VERIFIED"", ""https://www.jobhai.com/hire/home""]",1
1535681,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""false"", ""RECRUITER"", ""RECRUITER_VERIFIED"", ""https://www.jobhai.com/hire/home""]",1
1536267,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""false"", ""RECRUITER"", ""RECRUITER_VERIFIED"", ""https://www.jobhai.com/hire/home""]",2
1538983,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""false"", ""RECRUITER"", ""RECRUITER_VERIFIED_CURRENT_NOT_VERIFIED"", ""https://employer.jobhai.com/hire/home""]",1
1538983,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""true"", ""RECRUITER"", ""RECRUITER_VERIFIED_CURRENT_NOT_VERIFIED"", ""https://employer.jobhai.com/hire/home""]",1
1542431,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""false"", ""RECRUITER"", ""RECRUITER_VERIFIED"", ""https://employer.jobhai.com/hire/home""]",2
1542431,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""true"", ""RECRUITER"", ""RECRUITER_VERIFIED"", ""https://employer.jobhai.com/hire/home""]",1
1544358,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""false"", ""RECRUITER"", ""RECRUITER_VERIFIED"", ""https://employer.jobhai.com/hire/home""]",1
1545000,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""false"", ""RECRUITER"", ""RECRUITER_VERIFIED"", ""https://employer.jobhai.com/hire/home""]",1
1549843,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""true"", ""BASIC"", ""TEAMS_BASIC_USER_VERIFIED"", ""https://employer.jobhai.com/hire/home""]",1
1550106,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""false"", ""RECRUITER"", ""RECRUITER_VERIFIED"", ""https://www.jobhai.com/hire/home""]",1
1557242,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""false"", ""RECRUITER"", ""RECRUITER_VERIFIED"", ""https://www.jobhai.com/hire/home""]",2
1560633,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""false"", ""RECRUITER"", ""RECRUITER_BLACKLISTED"", ""https://employer.jobhai.com/hire/home""]",1
1564976,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""false"", ""RECRUITER"", ""RECRUITER_VERIFIED_CURRENT_NOT_VERIFIED"", ""https://employer.jobhai.com/hire/home""]",1
1573992,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""false"", ""RECRUITER"", ""RECRUITER_VERIFIED"", ""https://employer.jobhai.com/hire/help-center""]",2
1585638,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""false"", ""RECRUITER"", ""RECRUITER_VERIFIED"", ""https://employer.jobhai.com/hire/home""]",2
1592089,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""false"", ""RECRUITER"", ""RECRUITER_VERIFIED"", ""https://www.jobhai.com/hire/help-center?pageType=COMMUNICATION_AND_SUPPORT""]",1
1597677,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""true"", ""RECRUITER"", ""RECRUITER_VERIFIED"", ""https://employer.jobhai.com/hire/home""]",1
1609976,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""true"", ""RECRUITER"", ""RECRUITER_VERIFIED"", ""https://employer.jobhai.com/hire/home""]",1
